星,Reading / English,Element,Core Traits (Corrected),Strengths,Weaknesses
貫索星,"かんさくせい
Kansaku-sei
Self-Protector","Wood+ / Defense
Individual Play","• Conceals inner self (内面を秘する) — exterior reveals little of rich inner world
• Late-bloomer fate: success comes slowly but powerfully (人生の歩みが遅い)
• Lone-wolf independence; enormous physical endurance",Exceptional endurance; honest & direct; thrives autonomously; waits then acts decisively; late-bloomer power builds over decades,Self-centered; inflexible; conceals inner self even from intimates; slow pace misread as laziness; friction with authority figures
石門星,"せきもんせい
Sekimon-sei
Diplomat","Wood- / Defense
Group Play","• Soft exterior / hard inner core (外柔内剛) — NEVER reveals true feelings
• Active upward rebelliousness (目上への反骨精神) even while appearing agreeable
• 八方美人リスク: friendliness to all creates perception of insincerity",Broad alliance-building; horizontal peer leadership; politically intelligent; charisma grows significantly with age,Never shows true feelings; pushes back against superiors actively; 八方美人 perception of insincerity; hard inner core hidden from all
鳳閣星,"ほうかくせい
Houkaku-sei
Free Spirit","Fire+ / Transmission
Group Play","• '食べるのに困らない' fate promise — will never go hungry; food/body are defining themes
• Endures SILENTLY (黙って耐える) rather than fighting — passive not active endurance
• '子供の星' (child star): eternally youthful; '長寿の星' longevity star",Calm fair judgment; natural warmth in communication; food/health/body talent; passive endurance (rarely creates enemies); longevity,Passive endurance only (not active persistence); appears unambitious; drifts without direction in youth; South position: drawn into opinions despite neutrality preference
調舒星,"ちょうじょせい
Choujo-sei
The Artist","Fire- / Transmission
Individual Play","• Chooses solitude but SUFFERS in it (孤独を選ぶが苦しむ) — not peaceful independence
• Reflexively contrarian (ひねくれ): may resist even genuinely good things
• 傷官: tears down existing structures, then feels guilt — creative-destructive cycle",Notices what others miss; extraordinary creativity & artistic expression; sharp critical intelligence; deeply empathetic when open,Painful solitude (suffers in the isolation it seeks); contrarian reflex; outsized emotional responses; unpredictable charm/withdrawal switch exhausts close relations
禄存星,"ろくぞんせい
Rokuzon-sei
Benefactor","Earth+ / Attraction
Individual Play","• 回転財: attracts wealth but spends generously — NOT a saver (opposite of 司禄星)
• Large-scale public magnetism — '引力の星' operates at societal not personal scale
• Strong self-display desire (自己顕示欲) in chest position",Large-scale public magnetism; attracts financial flows and people; genuine warmth & service; high current-moment problem-solving,回転財 — NOT a saver; self-display desire can drive over-spending; naïve generosity risks exploitation; large-scale only — not suited to quiet roles
司禄星,"しろくせい
Shiroku-sei
Planner","Earth- / Attraction
Group Play","• 正財: stable, correctly-held wealth through disciplined accumulation (contrast: 禄存=偏財)
• Close-range magnetism only — intimate circle, NOT mass public appeal
• Possessive/jealous (やきもちを焼く): loyalty and possessiveness are closely linked",正財 stable wealth accumulation; exceptional long-haul reliability; deep family loyalty; empathetic and deeply trusted in intimate circle,Close-range only — no mass appeal; possessive/jealous; misses opportunities through excessive caution; West position creates inward-looking isolated household
車騎星,"しゃきせい
Shaki-sei
Catalyst","Metal+ / Attack
Individual Play","• '負けず嫌い' (hates losing) — competitive drive is PRIMARY defining trait
• '単純' (simple-minded): excels in clear binary situations; struggles with nuance/complexity
• 偏官: pushes rules rather than following or breaking — gray-zone operator",Fearless and direct; competitive drive delivers results in clear-metric environments; high physical energy; transparent — no hidden agenda,Struggles with nuance and complexity; chest position reads as confrontational to cautious stars; impulsive; poor at sustained methodical long-term work
牽牛星,"けんぎゅうせい
Kengyu-sei
Calibrator","Metal- / Attack
Group Play","• '官僚の星': strength is COLLECTIVE disciplined action, not just individual pride
• Physical neatness/presentation matters as a fate signal (清潔感あるシュッとした人)
• '令和 compliance era' star: disciplined, reliable, zero-scandal institutional performer",Collective disciplined performance; institutional reliability; refined aesthetic presentation; compliance strength; no scandal,Rigidity in protocol even when flexibility is needed; pride/status-consciousness can alienate; cold appearance; collective conformity pressure on individuals
龍高星,"りゅうこうせい
Ryuukou-sei
Traveller","Water+ / Acquisition
Individual Play","• SUSPICIOUS and watchful (疑い深い, 人の裏を見る) — not just curious, defensively observant
• 離別・離郷 is a FATE PATTERN: separations from home/family/career happen as destiny
• Without a clear life mission: produces directionless, confusion-filled life (迷いの多い人生)",Highly original thinker; thrives in new environments; defensive intelligence sees what others miss; willing to disrupt and rebuild boldly,Suspicious nature may see betrayal where none exists; 離別・離郷 fate pattern is unavoidable; destructive phase damages relationships; directionless without mission
玉堂星,"ぎょくどうせい
Gyokudo-sei
Traditionalist","Water- / Acquisition
Group Play","• PRIMARY strength is INTELLECTUAL DEPTH and information analysis (not just 'traditional')
• Maternal lineage is a defining connection — wisdom/capability transmitted through mother's line
• '口は重め': low broadcast power but high reliability = zero-scandal trustworthiness",Deep intellectual analysis & information processing; zero-scandal reliability; absorbs and transmits complex knowledge brilliantly,Low broadcast power — overlooked despite high capability; absorbs rather than originates; analysis paralysis risk; slow recognition
