Star,Reading,Vitality,Core Meaning & Life Stage,Strengths,Challenges
天報星,天報せい,3 (胎),"Fetal energy (3 pts). New beginnings from endings. Highly intuitive, multi-talented, spiritually gifted. Turbulent but rich life.",Intuitive & multi-talented; spiritually gifted; bridges endings and new beginnings,Turbulent life; feelings of misunderstanding; difficulty committing long-term
天印星,天印せい,6 (長生),Infant energy (6 pts). Natural magnetism draws support without effort. Lucky through distant sources. Full potential realized in later years.,Natural magnetism; draws support; lucky from unexpected sources; calm in difficulty,Must distinguish sincere allies from opportunists; full potential only in later years
天貴星,天貴せい,9 (冠帯),"Childhood energy (9 pts). Endowed with talent and refinement. Greatest gift passed to next generation. Stable, peaceful presence.",Gifted with talent & refinement; brings luck to descendants; creates stable peaceful environment,Personal achievements may be modest; purpose is generational rather than individual
天恍星,天恍せい,7 (沐浴),Adolescent energy (7 pts). Refined aesthetic sensibility. Thrives internationally. Luck comes through indirect/side-door paths.,Refined aesthetic; thrives internationally; lucky through indirect paths,Luck pathways are unclear; benefits most from overseas/cross-cultural context
天南星,天南せい,10 (建禄),Young adult energy (10 pts). High service-orientation. Remains active well into old age. Success through patient decades-long dedication.,High service-orientation; remains active throughout life; success through patient decades-long dedication,May avoid leadership; taken for granted for reliability; life gets BUSIER with age not calmer
天禄星,天禄せい,11 (衰),Prime adult energy (11 pts). Stable prosperity and multi-generational family impact. Commands respect naturally.,Stable prosperity; multi-generational family impact; commands natural respect,Family may benefit more than person; risk of complacency in stable circumstances
天将星,天将せい,12 ★ (帝旺),Peak energy (12 pts — HIGHEST). Frontrunner in chosen field. Remains professionally vital throughout life. Cost: personal/family life may suffer.,Maximum vitality; frontrunner in chosen field; remains professionally vital throughout life,Professional peak at cost of personal/family life; difficulty accepting vulnerability
天堂星,天堂せい,8 (病),Elder energy (8 pts). Builds legacy and creates successors. Wisdom compounds. Comfortable and impactful in later years.,Legacy-builder; creates successors; wisdom compounds; comfortable and impactful in later years,Better at continuing than starting; contributions may not receive personal glory
天胡星,天胡せい,4 (死),Dream-world energy (4 pts). Rich inner world. Can build entirely new cultural realms. Risk: escapism and loss of practicality.,Exceptional creative imagination; builds entirely new cultural/artistic worlds,"Risk: escapism, fantasy, loss of practicality; may be misunderstood by society"
天極星,天極せい,2 (絶),Dissolution energy (2 pts). Transcendence through letting go. Help from community not family. Profound spiritual potential.,Profound spiritual depth; transcends ego; potential for deep wisdom and community reverence,Family role unclear; conventional success paths inaccessible; requires spiritual framework
天庫星,天庫せい,5 (墓),Repository energy (5 pts). Remains active and duty-driven throughout life. Deep responsibility to next generation. Creates enduring institutions.,Active throughout life; preserves and transmits knowledge; creates enduring institutions,Cannot retire — constant sense of duty; sacrifices personal happiness; risks overbearing authority
天馳星,天馳せい,1 (養),Wandering energy (1 pt — LOWEST). Consistent lifelong motion. Never fully settles. Excellent at mobilising others.,Consistent work ethic lifelong; excellent at mobilising others; operates across many environments,Cannot settle; family life suffers; lowest vitality — requires conscious energy management
