Name,Career Domain,Extracted Personality Traits,Life Patterns or Behavioral Themes,Representative Evidence,Sentiment Tone,Birthdate,Insen_1,Insen_2,Insen_3,Insen_4,Insen_5,Insen_6,Insen_7,Insen_8,Insen_9,頭 (Head),胸 (Chest),腹 (Stomach),右手 (Right Hand),左手 (Left Hand),左肩 (Left Shoulder),左足 (Left Leg),右足 (Right Leg),Tenchusatsu
Barack Obama,"Politician, Author","Resilient, Adaptable, Reflective, Intellectually Curious, Ambitious, Empathetic, Introspective, Disciplined, Articulate, Charismatic","Early Childhood Instability and Search for Identity, Academic and Intellectual Achievement Striving, Community Engagement and Social Justice Orientation, Political Leadership and National Service, Reconciliation of Multiracial Heritage","""That my father looked nothing like the people around me—that he was black as pitch, my mother white as milk—barely registered in my mind."" (reflecting early adaptation to a unique family dynamic)
He described his struggles as a young adult to reconcile social perceptions of his multiracial heritage.
Obama was also a member of the ""Choom Gang"" (the slang term for smoking marijuana), a self-named group of friends who spent time together and smoked marijuana. (suggests experimentation and social connection during adolescence)
He was selected as an editor of the Harvard Law Review at the end of his first year, president of the journal in his second year, and research assistant to the constitutional scholar Laurence Tribe while at Harvard. (demonstrates ambition and intellectual capabilities)
Obama worked as a community organizer from June 1985 to May 1988. He helped set up a job training program, a college preparatory tutoring program, and a tenants' rights organization in Altgeld Gardens. (indicates a strong commitment to social justice and community building)
Obama's election as the first black president of the Harvard Law Review gained national media attention and led to a publishing contract and advance for a book about race relations, which evolved into a personal memoir. (highlights ambition and a capacity for impactful communication)
He has been described as one of the most effective campaigners in American history...as well as one of the most talented political orators of the 21st century.",Mixed,1961-08-04,辛,丑,乙,未,己,巳,己,己,丙,鳳閣,貫索,車騎,玉堂,貫索,天庫,天南,天将,戌亥
Taylor Swift,Musician,"Driven, Ambitious, Determined, Creative, Persistent, Independent, Self-Reliant, Resilient, Adaptable, Vulnerable, Introspective, Disciplined, Methodical, Entrepreneurial, Risk-taking, Strategic","Early ambition and proactive career pursuit, Self-directed learning and development, Strategic career management and reinvention, Openness to risk and adaptation, Vulnerability as a creative strength, Strong family ties and support system, Entrepreneurial spirit and business acumen, Resilience in the face of rejection","Early determination to pursue a country music career in Nashville despite rejections.
Self-taught guitar at 12; proactive submission of demo tapes.
Strategic signing with Big Machine Records, securing creative control.
Shifting musical genres throughout her career, adapting to evolving trends.
Openness and vulnerability in her songwriting, using personal experiences.
Close relationship with her mother, who actively supported her career.
Purchasing a stake in Big Machine Records, demonstrating business savvy.
Overcoming early rejections to achieve significant success.",Positive,1989-12-13,己,巳,丙,子,丁,未,丙,癸,己,鳳閣,車騎,石門,鳳閣,石門,天将,天馳,天南,寅卯
Angela Merkel,Politician,"Highly Intelligent, Disciplined, Pragmatic, Reserved, Analytical, Resilient, Ambitious, Cautious, Independent, Methodical","Strategic Planning and Execution, Adaptability to Changing Circumstances, Calculated Risk-Taking, Maintaining a Controlled Public Image, Internal Conflict between Conformity and Individuality, Emphasis on Education and Achievement","completed her school education with the best possible average Abitur grade of 1.0
learned to speak Russian fluently at school, and she was awarded prizes for her proficiency in Russian and mathematics
declined [Stasi informer position] using the excuse that she could not keep secrets well enough to be an effective spy
Life in the GDR was sometimes almost comfortable in a certain way, because there were some things one simply couldn't influence.
She openly propagated Marxism as the secretary for ""Agitation and Propaganda""
Merkel has denied this claim and stated that she was secretary for culture
I can only rely on my memory, if something turns out to be different, I can live with that.",Neutral,1954-07-17,甲,午,辛,未,甲,戌,丁,己,辛,貫索,司禄,牽牛,牽牛,調舒,天極,天庫,天印,申酉
Oprah Winfrey,Media Personality,"Resilient, Ambitious, Determined, Empathetic, Charismatic, Strong-willed, Articulate, Public-Speaking Proficient, Intelligent, Resourceful, Independent, Vulnerable","Overcoming adversity, Self-made success, Triumph over trauma, Early hardship shaping later life, Strong sense of self despite challenging environment, Public persona vs. private vulnerability, Transformation from victim to survivor","'When my father took me, it changed the course of my life. He saved me.'
She began to rebel and steal money from her mother in an effort to keep up with her free-spending peers.
Winfrey has stated she was molested by her cousin, uncle, and a family friend, starting when she was nine years old.
Her grandmother taught her to read before the age of three and took her to the local church, where she was nicknamed “The Preacher” for her ability to recite Bible verses.
At 13, after suffering what she described as years of abuse, Winfrey ran away from home.
Winfrey won an oratory contest, which secured her a full scholarship to Tennessee State University
Winfrey's career in media would not have surprised her grandmother, who once said that ever since Winfrey could talk, she was on stage.",Mixed,1954-01-29,癸,巳,乙,丑,乙,酉,丙,己,辛,龍高,禄存,貫索,車騎,調舒,天恍,天堂,天馳,午未
Narendra Modi,"Politician, Author","Driven, Strategic, Disciplined, Ambitious, Charismatic, Resilient, Ideological, Determined, Cunning, Secretive, Authoritarian","Early exposure to political activism and ideological influence, Profound impact of mentorship, Pattern of calculated risk-taking and strategic maneuvering, Willingness to abandon personal relationships for political goals, Periods of intense self-directed activity and travel, punctuated by periods of focused political organizing, Strong adherence to personal beliefs and ideologies, often prioritized over personal relationships, Consistent pursuit of power and influence, Ability to cultivate a larger-than-life public image, Controversy surrounding the authenticity of academic credentials","Keen, gifted debater with an interest in theatre
Preferred playing larger-than-life characters in theatrical productions
Abandoned his wife...and left home
Kept the marriage a secret
Spent the following two years travelling across northern and north-eastern India
Became a full-time pracharak (campaigner) for the RSS
Modi's planning was responsible for the win
Modi's strategy was credited as central to the BJP winning
Modi was forced to go underground in Gujarat and frequently travelled in disguise
There is a controversy surrounding the authenticity of his BA and MA degrees",Mixed,1950-09-17,庚,寅,乙,酉,乙,卯,甲,辛,乙,牽牛,車騎,貫索,貫索,石門,天将,天馳,天祿,子丑
Beyoncé Knowles,Musician,"Driven, Ambitious, Resilient, Disciplined, Creative, Independent, Determined, Competitive, Confident, Performative, Multi-faceted, Adaptable, Risk-taking, Innovative","Early exposure to performance and competition fostered ambition and drive., Family dynamics influenced career choices and work ethic (father's management, parental separation)., Consistent reinvention and adaptation within the music industry, showcasing creative fluidity and resilience., Strong sense of self and agency, leading to bold career choices and self-directed artistic evolution., Integration of personal experiences into artistic expression (e.g. Lemonade)., Dedication to artistic excellence and innovation, constantly pushing creative boundaries.","Won a school talent show at age seven, outperforming older competitors.
Father left his job to manage Destiny's Child, significantly impacting family income and dynamics.
Continuous musical reinventions, described as a 'musical chameleon'.
Redefined how music is released and marketed, popularizing the surprise album.
Lemonade album incorporated personal experiences into artistic expression.
Beyoncé's work transcends genre boundaries, setting new artistic standards.",Positive,1981-09-04,辛,酉,丙,申,乙,酉,辛,庚,辛,車騎,牽牛,調舒,車騎,車騎,天馳,天報,天馳,午未
Vladimir Putin,Politician,"High need for control, Strategic and calculating, Disciplined and resilient, Ambitious and power-seeking, Pragmatic and results-oriented, Reserved and emotionally guarded, Strong sense of national identity, Authoritarian, Determined, Risk-taking","Early exposure to hardship and loss fostering resilience and determination, Consistent pursuit of power and influence through strategic maneuvering, Strong identification with national interests, sometimes manifested as aggressive foreign policy, Pattern of consolidating power and suppressing opposition, Tendency towards secrecy and opaque decision-making, Utilization of intelligence and security apparatus for political gain","Early life experiences during the Siege of Leningrad and loss of family members (demonstrates resilience and potential for hardened worldview)
Rise through the KGB and subsequent political career (reveals ambition and strategic thinking)
2014 annexation of Crimea and 2022 invasion of Ukraine (illustrates strong nationalistic sentiment and willingness to take significant risks)
Reorganization and strengthening of the FSB (shows need for control and security)
Opaque decision-making processes surrounding key political actions (suggests preference for secrecy and control)
His fluent German and interactions with German officials (suggests adaptability and strategic use of language)",Mixed,1952-10-07,壬,辰,己,酉,丙,戌,乙,辛,辛,車騎,司禄,調舒,司禄,玉堂,天南,天極,天庫,午未
Ellen DeGeneres,"Comedian, Actress, Talk Show Host, Author","Highly sensitive, Adaptable, Resilient, Humorous, Independent, Empathetic, Assertive (in later life), Reserved (early life), Creative, Observant","Early childhood trauma and its lasting impact, Strong drive for independence and self-expression, Career trajectory marked by both success and setbacks, Public persona contrasting with private struggles, Transformation from reserved to assertive self-advocacy, Pattern of seeking creative outlets for emotional processing","Early molestation by stepfather; her mother's initial disbelief.
Leaving home at a young age; pursuing diverse career paths.
Success of 'Ellen' show followed by cancellation of other ventures.
Public image of kindness and humor juxtaposed with reports of workplace conflicts.
Coming out publicly as a lesbian; actively advocating for LGBTQ+ rights.
Use of comedy to process childhood trauma; expressing personal experiences in her work.",Mixed,1958-01-26,丁,酉,癸,丑,癸,卯,辛,己,乙,禄存,車騎,貫索,鳳閣,龍高,天胡,天南,天貴,辰巳
Xi Jinping,Politician,"Resilient, Determined, Disciplined, Pragmatic, Authoritative, Ambitious, Adaptable, Persistent, Strategic, Empathetic (towards the rural poor), Resourceful","Overcoming adversity and hardship to achieve goals, Strong sense of duty and responsibility, Effective leadership and problem-solving skills in challenging environments, Strategic career progression through demonstrating competence and loyalty, Balancing personal ambition with political maneuvering and pragmatism, A pattern of seeking and implementing practical solutions to real-world problems (e.g., biogas technology)","He once recalled that he had to overcome 'five hurdles' (flea, food, life, labor and thought hurdle), and the experience led him to feel affinity with the rural poor.
Despite submitting ten applications [to join the CCP], it wasn't until the new commune secretary...recognized Xi's capabilities that his application was approved.
Due to his effective work and strong rapport with the villagers, the community expressed a desire to keep him there.
After taking office, Xi noted that Mianyang, Sichuan was using biogas technology and...he traveled to Mianyang to learn about biogas digesters. Upon returning, he successfully implemented the technology in Liangjiahe...
He led efforts to drill wells for water supply, establish iron industry cooperatives, reclaim land, plant flue-cured tobacco, and set up sales outlets to address the village's production and economic challenges.",Mixed,1953-06-15,癸,巳,戊,午,丁,酉,丙,丁,辛,車騎,貫索,調舒,禄存,石門,天将,天祿,天貴,辰巳
Kim Kardashian West,"Media Personality, Entrepreneur, Brand Builder","Ambitious, Resilient, Self-Promoter, Risk-Taking, Adaptable, Driven by Public Image, Family-Oriented, Financially Astute, High Need for Attention, Controversy-Tolerant","Early exposure to wealth and fame (through family connections), followed by self-made success in media and business, Strategic use of personal life for career advancement, Navigating complex family dynamics and leveraging family relationships, Repeated reinvention and diversification of career paths, Demonstrates a capacity for both public image management and vulnerability, Willingness to engage in potentially risky ventures for significant personal gain, Balancing public persona with private life and family commitments","Early media attention through friendships with Paris Hilton and Nicole Richie
Building a successful reality TV empire based on family life
Launching various business ventures (SKIMS, SKKY Partners)
Navigating a high-profile divorce and subsequent relationships
Advocating for criminal justice reform (Justice Project)
Taking on acting roles in American Horror Story and films
Facing and managing a SEC investigation regarding cryptocurrency promotion
Using social media to promote personal brand and business ventures",Mixed,1980-10-21,庚,申,丙,戌,丁,卯,庚,辛,乙,司禄,禄存,石門,龍高,司禄,天恍,天印,天胡,戌亥
